2025-05-06 05:33:12,373 - INFO - Namespace(dropout=0.1, eval_batch_size=128, eval_steps=1000, learning_rate=0.0001, log_dir=None, logging_steps=100, lr_scheduler_type='linear', model_name='gpt2', n_epochs=1, output_dir='model_6290', random_seed=6290, save_steps=1000, tokenizer_dir=None, train_batch_size=32, warmup_steps=0, weight_decay=0.01)
2025-05-06 05:33:12,374 - INFO - Random seed set to 6290
2025-05-06 05:33:13,508 - INFO - Cuda random seed set to 6290
2025-05-06 05:33:13,640 - INFO - Loading BabyLM Dataset...
2025-05-06 05:33:14,157 - INFO - Finished loading BabyLM
2025-05-06 05:33:15,551 - INFO - Using gpt2_collate_fn with bos_token_id 50256 and eos_token_id 50256
2025-05-06 05:33:15,787 - INFO - Model size: 124.4M parameters
2025-05-06 05:33:15,790 - INFO - Epoch 1/1
2025-05-06 05:33:23,623 - INFO - Step 100: Loss: 4.5255, Learning rate: 0.0001
2025-05-06 05:33:31,124 - INFO - Step 200: Loss: 2.8056, Learning rate: 0.0001
2025-05-06 05:33:38,567 - INFO - Step 300: Loss: 3.0368, Learning rate: 0.0001
2025-05-06 05:33:46,060 - INFO - Step 400: Loss: 3.7375, Learning rate: 0.0001
2025-05-06 05:33:53,781 - INFO - Step 500: Loss: 3.1295, Learning rate: 0.0001
2025-05-06 05:34:01,247 - INFO - Step 600: Loss: 2.8254, Learning rate: 0.0001
2025-05-06 05:34:08,780 - INFO - Step 700: Loss: 2.8733, Learning rate: 0.0001
2025-05-06 05:34:16,296 - INFO - Step 800: Loss: 2.9116, Learning rate: 0.0001
2025-05-06 05:34:23,770 - INFO - Step 900: Loss: 2.4963, Learning rate: 0.0001
2025-05-06 05:34:31,560 - INFO - Step 1000: Loss: 3.3387, Learning rate: 0.0001
2025-05-06 05:34:39,376 - INFO - Step 1100: Loss: 3.4231, Learning rate: 0.0001
2025-05-06 05:34:47,299 - INFO - Step 1200: Loss: 3.2197, Learning rate: 0.0001
2025-05-06 05:34:54,849 - INFO - Step 1300: Loss: 2.7049, Learning rate: 0.0001
2025-05-06 05:35:02,704 - INFO - Step 1400: Loss: 3.0166, Learning rate: 0.0001
2025-05-06 05:35:10,360 - INFO - Step 1500: Loss: 2.9070, Learning rate: 0.0001
2025-05-06 05:35:17,959 - INFO - Step 1600: Loss: 2.8905, Learning rate: 0.0001
2025-05-06 05:35:25,554 - INFO - Step 1700: Loss: 3.5313, Learning rate: 0.0001
2025-05-06 05:35:33,058 - INFO - Step 1800: Loss: 2.8780, Learning rate: 0.0001
2025-05-06 05:35:40,604 - INFO - Step 1900: Loss: 1.8468, Learning rate: 0.0001
2025-05-06 05:35:48,130 - INFO - Step 2000: Loss: 1.9090, Learning rate: 0.0001
2025-05-06 05:35:55,772 - INFO - Step 2100: Loss: 2.3936, Learning rate: 0.0001
2025-05-06 05:36:03,506 - INFO - Step 2200: Loss: 2.4743, Learning rate: 0.0001
2025-05-06 05:36:11,178 - INFO - Step 2300: Loss: 2.8781, Learning rate: 0.0001
2025-05-06 05:36:18,895 - INFO - Step 2400: Loss: 1.8615, Learning rate: 0.0001
2025-05-06 05:36:26,584 - INFO - Step 2500: Loss: 2.0188, Learning rate: 0.0001
2025-05-06 05:36:34,168 - INFO - Step 2600: Loss: 2.4750, Learning rate: 0.0001
2025-05-06 05:36:41,865 - INFO - Step 2700: Loss: 2.6843, Learning rate: 0.0001
2025-05-06 05:36:49,533 - INFO - Step 2800: Loss: 1.9673, Learning rate: 0.0001
2025-05-06 05:36:57,399 - INFO - Step 2900: Loss: 3.4278, Learning rate: 0.0001
2025-05-06 05:37:05,300 - INFO - Step 3000: Loss: 2.4863, Learning rate: 0.0001
2025-05-06 05:37:13,109 - INFO - Step 3100: Loss: 2.8329, Learning rate: 0.0001
2025-05-06 05:37:20,849 - INFO - Step 3200: Loss: 2.6124, Learning rate: 0.0001
2025-05-06 05:37:28,697 - INFO - Step 3300: Loss: 3.2310, Learning rate: 0.0001
2025-05-06 05:37:37,520 - INFO - Step 3400: Loss: 2.4379, Learning rate: 0.0001
2025-05-06 05:37:45,337 - INFO - Step 3500: Loss: 2.0300, Learning rate: 0.0001
2025-05-06 05:37:52,932 - INFO - Step 3600: Loss: 2.1866, Learning rate: 0.0001
2025-05-06 05:38:00,595 - INFO - Step 3700: Loss: 2.2065, Learning rate: 0.0001
2025-05-06 05:38:08,208 - INFO - Step 3800: Loss: 3.0619, Learning rate: 0.0001
2025-05-06 05:38:15,848 - INFO - Step 3900: Loss: 2.4078, Learning rate: 0.0001
2025-05-06 05:38:23,448 - INFO - Step 4000: Loss: 2.5791, Learning rate: 0.0001
2025-05-06 05:38:31,050 - INFO - Step 4100: Loss: 2.2737, Learning rate: 0.0001
2025-05-06 05:38:38,553 - INFO - Step 4200: Loss: 2.2443, Learning rate: 0.0001
2025-05-06 05:38:46,113 - INFO - Step 4300: Loss: 2.2514, Learning rate: 0.0001
2025-05-06 05:38:53,692 - INFO - Step 4400: Loss: 1.6977, Learning rate: 0.0001
2025-05-06 05:39:01,356 - INFO - Step 4500: Loss: 2.0794, Learning rate: 0.0001
2025-05-06 05:39:08,988 - INFO - Step 4600: Loss: 1.9301, Learning rate: 0.0001
2025-05-06 05:39:16,830 - INFO - Step 4700: Loss: 3.1679, Learning rate: 0.0001
2025-05-06 05:39:24,411 - INFO - Step 4800: Loss: 3.5460, Learning rate: 0.0001
2025-05-06 05:39:32,059 - INFO - Step 4900: Loss: 3.4733, Learning rate: 0.0001
2025-05-06 05:39:39,645 - INFO - Step 5000: Loss: 3.0248, Learning rate: 0.0001
2025-05-06 05:39:47,340 - INFO - Step 5100: Loss: 2.8658, Learning rate: 0.0001
2025-05-06 05:39:55,001 - INFO - Step 5200: Loss: 2.3659, Learning rate: 0.0001
2025-05-06 05:40:02,901 - INFO - Step 5300: Loss: 2.8374, Learning rate: 0.0001
2025-05-06 05:40:10,510 - INFO - Step 5400: Loss: 1.8603, Learning rate: 0.0001
2025-05-06 05:40:18,068 - INFO - Step 5500: Loss: 1.7768, Learning rate: 0.0001
2025-05-06 05:40:25,693 - INFO - Step 5600: Loss: 2.0176, Learning rate: 0.0001
